model,sampling,epoch,iou,acc,precision,recall
ae,even,01,0.11451887621437465,0.002846293530222826,0.15202461565521663,0.11444282561456735
ae,even,02,0.06077362728176105,0.0005382057916117892,0.07773426504542987,0.12893174124357165
ae,even,03,0.08193705690666488,0.002130782149653345,0.12040926067365,0.11776265790215486
ae,even,04,0.12936468417524347,0.004877089083857263,0.21858252664315928,0.1620117282361371
ae,even,05,0.06910496985838105,0.0010829555727533194,0.10753313662879596,0.09626281385954201
ae,even,06,0.1924672594308372,0.0013984448741009069,0.06974541533752339,0.24247263198816757
ae,even,07,0.060415080912899724,0.0015154506185120825,0.12682981816260208,0.12600256604350024
ae,even,08,0.11100803506904493,0.0011842967050086507,0.09407145195193925,0.14849990250935777
ae,even,09,0.09890245726616774,0.002002506640007192,0.15082156359636703,0.1359595351253424
ae,even,10,0.08073210051268098,0.0020697808257544767,0.13115232709482874,0.11222262208982074
ae,uneven,01,0.17106561640426188,0.012197729571782473,0.20668891405302361,0.03654556978414662
ae,uneven,02,0.1495259232358276,0.00467516366306522,0.18996606541932107,0.03046796678381351
ae,uneven,03,0.14912666767974958,0.008402239882087777,0.18163397248202717,0.03873657212741191
ae,uneven,04,0.1334129183270479,0.006060316593264039,0.18238540064844785,0.09794496331568442
ae,uneven,05,0.09871359130707774,0.003019299728543425,0.13736441785364772,0.05312202746765022
ae,uneven,06,0.07952861212019799,0.0014871362629962832,0.08230829033650217,0.06922278704843596
ae,uneven,07,0.12157595125057558,0.0033996005824001806,0.1611178529205867,0.044843994887268604
ae,uneven,08,0.13687292472768542,0.00527767067336264,0.16989696827144615,0.07827289065137519
ae,uneven,09,0.09755883506234507,0.0028252660547985723,0.11190999151906607,0.08521448983469801
ae,uneven,10,0.13042547270607288,0.0037596127134466467,0.14795006867051785,0.1116088292686944
sup,even,01,0.17413534247640292,0.16461354767502948,0.19953958602908317,0.3340910777159611
sup,even,02,0.15361354038702058,0.007150104452895946,0.24313811328679305,0.38456984349106016
sup,even,03,0.2542015673155906,0.03955778473733514,0.30389041144592416,0.2804204215912884
sup,even,04,0.1600096063188703,0.009304609736805514,0.19687911975632785,0.1376264866881569
sup,even,05,0.1935561598569826,0.10078913882310633,0.265930240438426,0.17272461113682733
sup,even,06,0.2171900248144005,0.10248926801606151,0.35568976733182506,0.32772843745960084
sup,even,07,0.20117508945998971,0.019409241669264794,0.26471078008775006,0.28356698668094693
sup,even,08,0.14675869010287912,0.009130300499030405,0.23782587388755402,0.19704059576738361
sup,even,09,0.16564741140947126,0.006310298557387649,0.2069649729758745,0.12227269813500505
sup,even,10,0.13257998261565734,0.006383723240945473,0.22441683615912567,0.23838753071773502
sup,uneven,01,0.09849992151659023,0.034491176458826704,0.15080233884893576,0.27528109421146113
sup,uneven,02,0.16626920167701664,0.037874185368184134,0.2584210328704998,0.2327337162675594
sup,uneven,03,0.215933354822863,0.0748357367129777,0.2492792528684564,0.14335253450692664
sup,uneven,04,0.17126850436307267,0.06716223867292061,0.21058990605849884,0.1354903407798379
sup,uneven,05,0.16887512595409682,0.05337739291934276,0.2353338371574069,0.29563566003671804
sup,uneven,06,0.2161638104198408,0.03372961724301959,0.279209657081081,0.2160228569276573
sup,uneven,07,0.2250218308784389,0.06450675790900051,0.2696880495747065,0.2758817915647908
sup,uneven,08,0.1851474185954024,0.04640898702775501,0.24002792908306145,0.12896064593081485
sup,uneven,09,0.1758232980857678,0.011278905527395985,0.23185767414974146,0.13270265952423121
sup,uneven,10,0.1282830167150003,0.003522396515335423,0.13190642095920166,0.27205908039905224
